STATION_ID,STATION_NAME,LATITUDE,LONGITUDE,STATION_TYPE,REFERENCES,SOIL_TYPE,PGA_VALUE,SA(0.3)_VALUE,SA(0.6)_VALUE,SA(1.0)_VALUE,PGA_LN_SIGMA,SA(0.3)_LN_SIGMA,SA(0.6)_LN_SIGMA,SA(1.0)_LN_SIGMA,PGA_VALUE_1,SA(0.3)_VALUE_1,SA(0.6)_VALUE_1,SA(1.0)_VALUE_1,PGA_VALUE_2,SA(0.3)_VALUE_2,SA(0.6)_VALUE_2,SA(1.0)_VALUE_2,PGA_VALUE_V,SA(0.3)_VALUE_V,SA(0.6)_VALUE_V,SA(1.0)_VALUE_V,VS30,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE
OXCU,OAXACA CIUDAD UNIVERSITARIA,17.048881,-96.713269,seismic,Stations_UNAM,ARCILLA,0.097498,0.349996,0.108003,0.058062,0.0,0.0,0.0,0.0,0.097498,0.349996,0.092228,0.024465,0.068128,0.222857,0.108003,0.058062,0.027506,0.050197,0.022786,0.019016,,,,,,,,
SCT2,SCT B-2.,19.394694,-99.148678,seismic,Stations_UNAM,ARCILLA,0.091678,0.192623,0.226551,0.174711,0.0,0.0,0.0,0.0,0.090332,0.192623,0.13843,0.168073,0.091678,0.157792,0.226551,0.174711,0.041767,0.096756,0.178771,0.066897,,,,,,,,
CCCL,CENTRO CULTURAL UNIVERSITARIO TLATELOLCO CAMPO LIBRE,19.449858,-99.137919,seismic,Stations_UNAM,SUELO,0.085528,0.18828,0.178628,0.226287,0.0,0.0,0.0,0.0,0.085528,0.18828,0.178628,0.226287,0.073419,0.179263,0.103591,0.166782,0.041002,0.104676,0.100735,0.055412,,,,,,,,
TEJU,TEJUPILCO,18.904051,-100.159615,seismic,Stations_UNAM,ROCA,0.083284,0.13079,0.054448,0.058808,0.0,0.0,0.0,0.0,0.083284,0.11053,0.054448,0.058808,0.054031,0.13079,0.03624,0.025403,0.029509,0.084741,0.037488,0.019599,,,,,,,,
OXXO,XOXOCOTLAN,17.026234,-96.726179,seismic,Stations_UNAM,?,0.079524,0.251023,0.132578,0.044602,0.0,0.0,0.0,0.0,0.068706,0.251023,0.093757,0.03192,0.079524,0.235794,0.132578,0.044602,0.030973,0.080546,0.031299,0.01757,,,,,,,,
CHFL,CHILA DE LAS FLORES,17.969493,-97.865638,seismic,Stations_UNAM,ROCA,0.07688,0.152385,0.089407,0.102504,0.0,0.0,0.0,0.0,0.075975,0.152385,0.08159,0.099496,0.07688,0.096998,0.089407,0.102504,0.038648,0.076589,0.052235,0.08827,,,,,,,,
OAXM,OAXACA FACULTAD DE MEDICINA,17.082872,-96.718744,seismic,Stations_UNAM,ALUVIAL,0.070369,0.228769,0.044492,0.028922,0.0,0.0,0.0,0.0,0.055318,0.168217,0.043759,0.028922,0.070369,0.228769,0.044492,0.026071,0.034331,0.061359,0.02538,0.021936,,,,,,,,
TNLP,TONALAPA DEL SUR,18.095563,-99.560805,seismic,Stations_UNAM,ROCA,0.065972,0.149602,0.064077,0.035164,0.0,0.0,0.0,0.0,0.051495,0.086302,0.046955,0.026287,0.065972,0.149602,0.064077,0.035164,0.06271,0.078381,0.053578,0.022236,,,,,,,,
OXTO,INSTITUTO TECNOLOGICO DE OAXACA,17.078389,-96.744158,seismic,Stations_UNAM,SUELO ALUVIAL,0.065089,0.157455,0.270856,0.05334,0.0,0.0,0.0,0.0,0.051601,0.094455,0.143158,0.033843,0.065089,0.157455,0.270856,0.05334,0.025407,0.083563,0.023296,0.011984,,,,,,,,
OXAE,OAXACA AEROPUERTO,17.001551,-96.721608,seismic,Stations_UNAM,SUELO BLANDO,0.063626,0.227443,0.146807,0.079642,0.0,0.0,0.0,0.0,0.063626,0.136676,0.098955,0.073038,0.061469,0.227443,0.146807,0.079642,0.020698,0.053926,0.024629,0.01749,,,,,,,,
