custom_site_id,lon,lat,vs30,vs30measured,z1pt0,z2pt5
t_9039,-98.54354,20.13694,621.0,False,109.47165,0.76457
t_9040,-98.11041,20.17181,900.0,False,15.45801,0.5001
t_9041,-98.1584,20.17303,533.0,False,190.59121,0.91062
t_9042,-98.2064,20.17424,499.0,False,230.09832,0.98194
t_9043,-98.25439,20.17543,516.0,False,209.87049,0.94502
t_9044,-98.30239,20.17661,265.0,False,482.39935,2.02544
t_9045,-98.35039,20.17777,255.0,False,487.89976,2.11657
t_9046,-98.39839,20.17891,279.0,False,473.77959,1.9096
t_9047,-98.44639,20.18005,371.0,False,390.2064,1.37832
t_9048,-98.49439,20.18116,448.0,False,294.56029,1.11084
t_9049,-98.54239,20.18226,410.0,False,343.25671,1.22939
t_9050,-98.1091,20.21713,900.0,False,15.45801,0.5001
t_9051,-98.15712,20.21835,787.0,False,34.07678,0.58307
t_9052,-98.20513,20.21956,392.0,False,365.50236,1.29418
t_9053,-98.25314,20.22075,371.0,False,390.2064,1.37832
t_9054,-98.30115,20.22193,362.0,False,400.27562,1.41759
t_9055,-98.34917,20.22309,289.0,False,466.94932,1.8342
t_9056,-98.39718,20.22424,422.0,False,328.04304,1.18948
t_9057,-98.4452,20.22537,412.0,False,340.7386,1.22256
t_9058,-98.49321,20.22648,294.0,False,463.321,1.79856
t_9059,-98.54123,20.22758,385.0,False,373.90755,1.32113
t_9060,-98.15583,20.26367,900.0,False,15.45801,0.5001
t_9061,-98.20386,20.26488,900.0,False,15.45801,0.5001
t_9062,-98.25188,20.26607,602.0,False,124.195,0.79224
t_9063,-99.26798,19.92502,349.0,False,414.18391,1.47816
t_9064,-99.31589,19.92587,387.0,False,371.52215,1.31333
t_9065,-99.36381,19.92672,392.0,False,365.50236,1.29418
t_9066,-99.41172,19.92754,619.0,False,110.95001,0.7674
t_9067,-99.02741,19.96583,498.0,False,231.31424,0.9842
t_9068,-99.07534,19.96676,426.0,False,322.92445,1.17671
t_9069,-99.12327,19.96768,353.0,False,409.98856,1.45901
t_9070,-99.1712,19.96858,289.0,False,466.94932,1.8342
t_9071,-99.21913,19.96946,457.0,False,282.94761,1.08585
t_9072,-99.26706,19.97034,438.0,False,307.47889,1.1399
t_9073,-99.31499,19.97119,456.0,False,284.2359,1.08857
t_9074,-99.36293,19.97203,425.0,False,324.20588,1.17988
t_9075,-99.41086,19.97286,604.0,False,122.5731,0.78924
t_9076,-99.02642,20.01114,455.0,False,285.52481,1.09131
t_9077,-99.07436,20.01208,722.0,False,54.16392,0.6435
t_9078,-99.12231,20.01299,729.0,False,51.52973,0.63643
